Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,9.420000,9.450000,9.260000,9.450000,9.135762,15862
2017-04-25,9.450000,9.450000,9.450000,9.450000,9.135762,441
2017-04-26,9.450000,9.500000,9.390000,9.500000,9.184099,7480
2017-04-27,9.440000,9.490000,9.440000,9.490000,9.174433,1109
2017-04-28,9.490000,9.550000,9.460000,9.460000,9.145430,192
2017-05-02,9.450000,9.500000,9.420000,9.500000,9.184099,9717
2017-05-03,9.500000,9.500000,9.450000,9.450000,9.135762,1350
2017-05-04,9.460000,9.500000,9.410000,9.410000,9.097092,3717
2017-05-05,9.500000,9.500000,9.420000,9.420000,9.106760,943
2017-05-08,9.500000,9.500000,9.410000,9.500000,9.184099,3719
2017-05-09,9.450000,9.500000,9.450000,9.500000,9.184099,2101
2017-05-10,9.460000,9.500000,9.460000,9.500000,9.184099,1095
2017-05-11,9.500000,9.530000,9.450000,9.530000,9.213102,18435
2017-05-12,9.530000,9.580000,9.510000,9.580000,9.261440,4785
2017-05-15,9.600000,9.600000,9.530000,9.550000,9.232437,3928
2017-05-16,9.600000,9.600000,9.590000,9.600000,9.280775,2471
2017-05-17,9.600000,9.600000,9.600000,9.600000,9.280775,932
2017-05-18,9.600000,9.600000,9.530000,9.530000,9.213102,9093
2017-05-19,9.540000,9.600000,9.540000,9.600000,9.280775,5150
2017-05-22,9.590000,9.590000,9.450000,9.450000,9.135762,598
2017-05-23,9.500000,9.590000,9.500000,9.590000,9.271107,6733
2017-05-24,9.510000,9.520000,9.510000,9.510000,9.193768,1975
2017-05-26,9.560000,9.560000,9.540000,9.540000,9.222770,14833
2017-05-29,9.540000,9.550000,9.520000,9.550000,9.232437,11429
2017-05-30,9.540000,9.560000,9.510000,9.560000,9.242105,11056
2017-05-31,9.560000,9.580000,9.510000,9.580000,9.261440,13181
2017-06-01,9.580000,9.580000,9.580000,9.580000,9.261440,6642
2017-06-02,9.580000,9.590000,9.550000,9.590000,9.271107,1002
2017-06-05,9.580000,9.580000,9.500000,9.530000,9.213102,6959
2017-06-06,9.580000,9.580000,9.570000,9.580000,9.261440,2382
2017-06-07,9.580000,9.580000,9.570000,9.570000,9.251772,867
